HudongItem1,relation,HudongItem2
菜椒,subclass of,辣椒
sweep,instance of,脚法
氟石,instance of,氟化钙
盐官州,instance of,州
歌词,subclass of,文本
雷马克,country of citizenship,德国
油分,subclass of,化学物质
马来西亚,diplomatic relation,文莱
菜椒,subclass of,食物
红尾伯劳,taxon rank,种
盐官州,country,中华人民共和国
拉曼,sex or gender,男性
雷马克,country of citizenship,美国
烧碱,instance of,食品添加剂
马来西亚,diplomatic relation,哥伦比亚
氨基甲酸乙酯,instance of,化合物
中条山,instance of,山脉
氟石,color,紫色
拉曼,country of citizenship,马来西亚
马来西亚,diplomatic relation,智利
磷酸钙,instance of,化合物
卵叶桂,taxon rank,种
中条山,country,中华人民共和国
香茅,taxon rank,属
蜂蜜,subclass of,饲料
油分,has part,甘油
马来西亚,diplomatic relation,古巴
磷酸钙,crystal system,单斜晶系
卵叶桂,parent taxon,樟属
氨基甲酸乙酯,has part,氧
Ramon,writing system,拉丁文字
蜂蜜,material used,花蜜
马来西亚,diplomatic relation,丹麦
氨基甲酸乙酯,has part,碳
贵族,has part,noble
Ramon,family name identical to this given name,Ramon
马来西亚,diplomatic relation,肯尼亚
磷酸钙,has part,钙
Ramon,different from,Ramon
氟石,color,粉红色
烧碱,has part,氢氧根
粤,sister city,泗水
磷酸钙,has part,氧
蜂蜜,natural product of taxon,西方蜜蜂
马来西亚,diplomatic relation,马拉维
磷酸钙,has part,磷
Ramon,said to be the same as,Raymond
烧碱,has part,氧
马来西亚,diplomatic relation,芬兰
氟石,color,褐色
烧碱,has part,钠
粤,sister city,洛杉矶
马来西亚,diplomatic relation,匈牙利
氟石,color,金色
蜂蜜,use,医学
粤,sister city,里昂
马来西亚,diplomatic relation,巴西
氟石,streak color,白色
雷马克,occupation,剧作家
马来西亚,diplomatic relation,牙买加
粤,sister city,曼谷
马来西亚,diplomatic relation,法国
粤,sister city,伯明翰
马来西亚,diplomatic relation,东帝汶
马来西亚,diplomatic relation,哈萨克斯坦
马来西亚,diplomatic relation,柬埔寨
斯蒂尔,instance of,城市
早花,instance of,五言律诗
心火,narrative location,纽约
马来西亚,diplomatic relation,阿塞拜疆
珍珠菜属,taxon rank,属
斯蒂尔,country,美国
四棱豆,subclass of,蔬菜
早花,instance of,诗
长枪乌贼,taxon rank,种
雷马克,nominated for,诺贝尔和平奖
粤,shares border with,肇庆市
联合村,instance of,村
碳黑,instance of,化学物质
闽江,instance of,河流
南京条约,language of work or name,英语
四棱豆,taxon rank,种
早花,genre,唐诗
心火,filming location,纽约
粤,shares border with,深圳市
马来西亚,diplomatic relation,埃及
联合村,country,中华人民共和国
um,measured physical quantity,长度
胡桃目,taxon rank,目
药物动力学,part of,药学
塞恩,country,法国
闽江,mouth of the watercourse,东海
珍珠菜属,has fruit type,蒴果
早花,country of origin,唐朝
心火,color,彩色
马来西亚,diplomatic relation,捷克
北京汽车,instance of,公司
象,instance of,俗名
非牛顿流体,subclass of,流体
闽江,country,中华人民共和国
早花,language of work or name,文言文
马来西亚,diplomatic relation,立陶宛
象,color,灰色
恩特雷里奥斯省,country,阿根廷
马来西亚,diplomatic relation,厄瓜多尔
关公,sex or gender,男性
恩特雷里奥斯省,capital,巴拉那
马来西亚,diplomatic relation,约旦
关公,country of citizenship,蜀汉
非牛顿流体,opposite of,牛顿流体
恩特雷里奥斯省,located in the administrative territorial entity,阿根廷
马来西亚,diplomatic relation,科威特
关公,family name,关
马来西亚,diplomatic relation,阿尔及利亚
马来西亚,diplomatic relation,巴林
马来西亚,diplomatic relation,埃塞俄比亚
马来西亚,diplomatic relation,缅甸
马来西亚,diplomatic relation,尼泊尔
Ban,instance of,城市
SDS,instance of,政党
黄果树瀑布,instance of,瀑布
大兴安岭,instance of,山脉
茑萝松,taxon rank,种
黄果树瀑布,part of,海河
中新世,instance of,series
大兴安岭,country,中华人民共和国
马来西亚,diplomatic relation,巴基斯坦
cyst,instance of,疾病
gf,instance of,大区
Frontier,instance of,城市
木屐,subclass of,木鞋
Ban,country,伊朗
黄果树瀑布,country,中华人民共和国
大兴安岭,material used,火成岩
cyst,subclass of,病灶
Frontier,country,美国
马林斯,country,美国
新木姜子,taxon rank,种
天主教,subclass of,基督教
马来西亚,diplomatic relation,叙利亚
甲烯土霉素,instance of,化合物
海蓝色,instance of,颜色
痴呆症,instance of,疾病
gf,official language,法语
中新世,followed by,上新世
林业,subclass of,产业
孟春,follows,十二月
嗜血杆菌,taxon rank,种
学士,applies to jurisdiction,美国
马来西亚,diplomatic relation,泰国
上天,instance of,术语
全州,instance of,州
社会问题,subclass of,问题
林业,part of,第一产业
孟春,followed by,二月
嗜血杆菌,parent taxon,嗜血杆菌属
痴呆症,health specialty,精神病学
学士,applies to jurisdiction,加拿大
gf,continent,南美洲
蝮蛇,taxon rank,属
CPO,country,智利
鸳鸯,taxon rank,种
学士,applies to jurisdiction,英国
gf,country,法国
马来西亚,diplomatic relation,阿拉伯联合酋长国
鸳鸯,parent taxon,Aix
马来西亚,diplomatic relation,越南
赵县,instance of,县
嗜血杆菌,Gram staining,革兰氏阴性菌
马来西亚,diplomatic relation,坦桑尼亚
赛葵,taxon rank,种
扁头猫,taxon rank,种
豇豆,taxon rank,种
赵县,country,中华人民共和国
fisher,taxon rank,种
轴榈属,taxon rank,属
gf,located in the administrative territorial entity,法国
马来西亚,diplomatic relation,菲律宾
lesion,health specialty,病理学
tarsus,part of,眼睑
砂纸,subclass of,纸
尘肺,instance of,疾病
豆腐乳,subclass of,豆腐
稻,subclass of,谷物
豇豆,parent taxon,豇豆属
轴榈属,parent taxon,棕榈科
gf,located in or next to body of water,大西洋
尘肺,subclass of,职业病
稻,subclass of,主食
铜锈,crystal system,单斜晶系
马来西亚,diplomatic relation,墨西哥
恩特雷里奥斯省,shares border with,布宜诺斯艾利斯省
马来西亚,diplomatic relation,美国
稻,subclass of,颖果
马来西亚,diplomatic relation,大韩民国
恩特雷里奥斯省,shares border with,科连特斯省
马来西亚,diplomatic relation,俄罗斯
稻,natural product of taxon,水稻
马来西亚,diplomatic relation,中华人民共和国
马来西亚,diplomatic relation,希腊
马来西亚,diplomatic relation,印度
马来西亚,diplomatic relation,伊朗
gf,shares border with,巴西
马来西亚,diplomatic relation,日本
稻,has part,淀粉
稻,different from,水稻
马来西亚,diplomatic relation,孟加拉国
Blood,instance of,科学期刊
香草冰淇淋,subclass of,冰淇淋
BA,instance of,航空公司
马来西亚,member of,联合国
目,part of,亚纲
介质,subclass of,材料
Shan,instance of,语言
目,part of,总目
香草冰淇淋,has part,香草
马来西亚,member of,英联邦
黄耀祥,member of,中国工程院
目,part of,大目
Blood,country of origin,美国
BA,country,英国
屏南县,instance of,县
成员国,subclass of,国家
disk,has quality,周长
Blood,language of work or name,英语
BA,country,西班牙
屏南县,country,中华人民共和国
nature,part of,宇宙
Hell,country,爱沙尼亚
成员国,subclass of,成员
夜兰香,taxon rank,种
disk,has part,扇形
Suzuki,instance of,企业
长沙县,instance of,县
荧光黄,instance of,化合物
成员国,part of,国际组织
情感,language of work or name,英语
disk,different from,圆
Empty,subclass of,省
刺猬,taxon rank,亚科
大节竹,taxon rank,种
长沙县,country,中华人民共和国
国籍,different from,国家
disk,said to be the same as,disk
净月潭,instance of,湖泊
心血管疾病,instance of,疾病
硫化亚铁,instance of,化合物
Empty,office held by head of the organisation,省长
大节竹,parent taxon,大节竹属
长沙县,located in the administrative territorial entity,长沙市
纸牌,publisher,微软
nature,said to be the same as,本性
国籍,different from,族群
两极,subclass of,点
硫化亚铁,has part,铁
Empty,country,中华人民共和国
国籍,different from,国家
金融机构,subclass of,制度
两极,subclass of,地理位置
硫化亚铁,has part,硫
Suzuki,country,日本
斯威策,sex or gender,男性
钦俊德,country of citizenship,中华人民共和国
钉螺,taxon rank,属
心血管疾病,drug used for treatment,胆钙化醇
SO,country,瑞士
Empty,different from,省
比哈尔邦,continent,亚洲
斯威策,country of citizenship,英国
比哈尔邦,country,印度
斯威策,given name,乔治
SO,located in the administrative territorial entity,瑞士
Suzuki,product or material produced,载货汽车
比哈尔邦,located in the administrative territorial entity,印度
马来西亚,language used,英语
马来西亚,language used,英语
心绞痛,drug used for treatment,亚硝酸异戊酯
斯威策,sport,足球
BA,headquarters location,水岸
心绞痛,drug used for treatment,罂粟碱
马来西亚,contains administrative territorial entity,马六甲
亚硫酸氢钠,instance of,化合物
丁酸甲酯,instance of,化合物
糖原磷酸化酶,found in taxon,智人
A站,country,中华人民共和国
安图县,instance of,县
胸苷,instance of,化合物
Cam,instance of,村
亚硫酸氢钠,has part,氧
密码子,part of,遗传密码
荷兰猪,taxon rank,种
安图县,country,中华人民共和国
胸苷,found in taxon,智人
红桑,taxon rank,种
黄芪,taxon rank,属
亚硫酸氢钠,has part,钠
比哈尔邦,shares border with,西孟加拉邦
华美,instance of,大熊猫
可行域,subclass of,集合
花马湖,instance of,湖泊
北凉,instance of,诸侯
胸苷,has part,氧
红桑,parent taxon,铁苋菜属
Cam,country,英国
亚硫酸氢钠,has part,硫
比哈尔邦,shares border with,北方邦
秦宣公,sex or gender,男性
华美,sex or gender,雌性
Japan,instance of,国家
肉苁蓉,taxon rank,种
胸苷,has part,碳
亚硫酸氢钠,has part,碳
密码子,has parts of the class,核苷酸
马来西亚,contains administrative territorial entity,沙巴
秦宣公,father,秦德公
候鸟,has immediate cause,食物
Japan,part of,亚洲
秦宣公,sibling,秦穆公
华美,mother,白云
Japan,official language,日语
马来西亚,contains administrative territorial entity,吉隆坡
Japan,continent,亚洲
Japan,country,日本
安图县,contains administrative territorial entity,石门镇
马来西亚,shares border with,泰国
马来西亚,shares border with,文莱
马来西亚,shares border with,印度尼西亚
马来西亚,shares border with,新加坡
杆菌肽,instance of,化合物
复州,instance of,州
会稽山,instance of,山脉
Cactus,taxon rank,属
复州,country,中华人民共和国
混合物,subclass of,化学物质
会稽山,country,中华人民共和国
紫菀,taxon rank,种
Goldcrest,taxon rank,种
Japan,located in or next to body of water,日本海
双键,subclass of,化学键
全唐诗话,instance of,文学作品
静电力,instance of,物理定律
Cactus,parent taxon,仙人掌
sign,studied by,症状学
会稽山,located in the administrative territorial entity,绍兴市
Japan,located in or next to body of water,太平洋
马来西亚,driving side,左
Peters,sex or gender,男性
海牛科,taxon rank,属
玉兰花,taxon rank,种
Japan,located in or next to body of water,鄂霍次克海
清水,instance of,镇
砖,subclass of,建筑材料
氨基比林,instance of,化合物
孢粉学,instance of,科学分支
鹌鹑蛋,instance of,卵
Peters,country of citizenship,德国
全唐诗话,language of work or name,文言文
吐,has cause,化学疗法
混合物,has parts of the class,化学物质
Japan,located in or next to body of water,东海
清水,country,日本
布鲁,country,法国
孢粉学,part of,地球科学
Stuart,sex or gender,男性
鹌鹑蛋,subclass of,蛋
玉兰花,has fruit type,蓇葖果
Japan,highest point,富士山
孢粉学,part of,生物学
Stuart,country of citizenship,美国
Stuart,given name,Gilbert
孢粉学,studies,花粉
Stuart,family name,Stuart
Peters,family name,Peters
孢粉学,studies,孢子
Japan,office held by head of state,天皇
Stuart,place of death,波士顿
Peters,place of death,柏林
吐,drug used for treatment,氯丙嗪
Stuart,languages spoken written or signed,英语
Peters,occupation,生物学家
Peters,occupation,鱼类学家
吐,drug used for treatment,地塞米松
Japan,diplomatic relation,德国
雷州半岛,instance of,半岛
Tam,instance of,姓氏
Peters,field of work,动物学
Japan,diplomatic relation,阿塞拜疆
甾体激素,subclass of,激素
长沙市,country,中华人民共和国
雷州半岛,country,中华人民共和国
Japan,diplomatic relation,美国
兰州,instance of,州
长沙市,capital of,湖南省
雷州半岛,located in or next to body of water,南海
哥伦比亚,instance of,共和制
Japan,diplomatic relation,法国
陶澍,sex or gender,男性
小戴礼记,instance of,文学作品
化合物,subclass of,化学物质
哥伦比亚,instance of,国家
Japan,diplomatic relation,俄罗斯
陶澍,country of citizenship,清朝
长沙市,located in the administrative territorial entity,湖南省
Japan,diplomatic relation,意大利
哥伦比亚,part of,拉丁美洲
Japan,diplomatic relation,巴西
化合物,opposite of,单质
Japan,diplomatic relation,以色列
哥伦比亚,official language,西班牙语
Japan,diplomatic relation,蒙古国
Japan,diplomatic relation,澳大利亚
哥伦比亚,continent,南美洲
Japan,diplomatic relation,泰国
化合物,has part,原子
哥伦比亚,country,哥伦比亚
Japan,diplomatic relation,大韩民国
长沙市,contains administrative territorial entity,长沙县
化合物,has part,化学键
Japan,diplomatic relation,英国
Japan,diplomatic relation,乌克兰
Japan,diplomatic relation,沙特阿拉伯
哥伦比亚,deepest point,太平洋
Japan,diplomatic relation,叙利亚
Eaton,instance of,城市
100,instance of,年
南澳岛,instance of,县
无机物,subclass of,化合物
哥伦比亚,basic form of government,共和制
Japan,diplomatic relation,菲律宾
王锦蛇,taxon rank,种
Eaton,country,美国
酢浆草属,taxon rank,属
南澳岛,country,中华人民共和国
Japan,diplomatic relation,中华人民共和国
环氧乙烷,instance of,化合物
布鲁诺,instance of,市镇
SA,instance of,国家
Japan,diplomatic relation,中国
布鲁诺,country,德国
高眼鲽,taxon rank,种
酢浆草属,has fruit type,蒴果
100,followed by,101年
南澳岛,located in the administrative territorial entity,汕头市
SA,part of,非洲
Japan,diplomatic relation,伊朗
豆干,subclass of,豆腐
SA,official language,英语
Japan,diplomatic relation,印度
锯缘青蟹,taxon rank,种
黑核桃,taxon rank,种
贝格,instance of,市镇
柿树科,taxon rank,科
豆干,country of origin,中国
环氧乙烷,instance of,杂环化合物
长沙市,sister city,圣保罗
黑核桃,parent taxon,胡桃
贝格,country,奥地利
豆干,has part,豆腐
Japan,diplomatic relation,巴巴多斯
豆干,has part,五香粉
环氧乙烷,has part,氧
Japan,diplomatic relation,朝鲜民主主义人民共和国
环氧乙烷,has part,碳
哥伦比亚,diplomatic relation,加拿大
Japan,diplomatic relation,希腊
哥伦比亚,diplomatic relation,意大利
Japan,diplomatic relation,孟加拉国
哥伦比亚,diplomatic relation,巴西
Japan,diplomatic relation,塞尔维亚
哥伦比亚,diplomatic relation,德国
哥伦比亚,diplomatic relation,澳大利亚
Japan,diplomatic relation,拉丁美洲
哥伦比亚,diplomatic relation,以色列
Japan,diplomatic relation,芬兰
哥伦比亚,diplomatic relation,法国
哥伦比亚,diplomatic relation,捷克
Japan,diplomatic relation,东帝汶
Japan,diplomatic relation,摩纳哥
SA,continent,非洲
哥伦比亚,diplomatic relation,印度尼西亚
Japan,diplomatic relation,西班牙
SA,country,南非
哥伦比亚,diplomatic relation,西班牙
Japan,diplomatic relation,新加坡
哥伦比亚,diplomatic relation,秘鲁
Japan,diplomatic relation,瑞典
Japan,diplomatic relation,秘鲁
荣县,instance of,县
哥伦比亚,diplomatic relation,厄瓜多尔
栊翠庵,country,中华人民共和国
西伯利亚鲟,taxon rank,种
张勃,sex or gender,男性
紫石房蛤,taxon rank,种
荣县,country,中华人民共和国
哥伦比亚,diplomatic relation,奥地利
scrapie,instance of,疾病
爱琴海,instance of,海
嵩县,instance of,县
普宁,instance of,图书
阻抗,has part,电阻
SA,deepest point,印度洋
哥伦比亚,diplomatic relation,乌拉圭
Japan,diplomatic relation,越南
大蚊,taxon rank,科
爱琴海,part of,地中海
嵩县,country,中华人民共和国
侯官县,country,清朝
小香薷,taxon rank,种
阻抗,has part,电抗
哥伦比亚,diplomatic relation,尼加拉瓜
Japan,diplomatic relation,墨西哥
爱琴海,basin country,希腊
粘滞度,subclass of,摩擦力
张勃,occupation,历史学家
哥伦比亚,diplomatic relation,马来西亚
爱琴海,basin country,土耳其
Japan,diplomatic relation,乌拉圭
爱琴海,country,希腊
普宁,country of origin,美国
哥伦比亚,diplomatic relation,墨西哥
爱琴海,country,土耳其
普宁,language of work or name,英语
哥伦比亚,diplomatic relation,大韩民国
爱琴海,located in or next to body of water,地中海
哥伦比亚,diplomatic relation,俄罗斯
哥伦比亚,diplomatic relation,日本
Japan,diplomatic relation,南非
哥伦比亚,diplomatic relation,印度
Japan,diplomatic relation,葡萄牙
哥伦比亚,diplomatic relation,希腊
Japan,diplomatic relation,巴拉圭
SA,diplomatic relation,加拿大
哥伦比亚,diplomatic relation,孟加拉国
Japan,diplomatic relation,巴基斯坦
SA,diplomatic relation,意大利
哥伦比亚,diplomatic relation,巴拿马
Japan,diplomatic relation,新西兰
SA,diplomatic relation,巴西
哥伦比亚,diplomatic relation,格鲁吉亚
SA,diplomatic relation,德国
Japan,diplomatic relation,尼泊尔
SA,diplomatic relation,澳大利亚
哥伦比亚,member of,联合国
SA,diplomatic relation,赞比亚
Japan,diplomatic relation,马来西亚
SA,diplomatic relation,乌克兰
Japan,diplomatic relation,立陶宛
SA,diplomatic relation,斯威士兰
Japan,diplomatic relation,老挝
SA,diplomatic relation,英国
Japan,diplomatic relation,阿富汗
SA,diplomatic relation,阿根廷
Japan,diplomatic relation,奥地利
SA,diplomatic relation,安哥拉
Japan,diplomatic relation,格鲁吉亚
Japan,diplomatic relation,埃及
SA,diplomatic relation,保加利亚
Japan,diplomatic relation,埃塞俄比亚
SA,diplomatic relation,埃及
Japan,diplomatic relation,哥伦比亚
SA,diplomatic relation,芬兰
Japan,diplomatic relation,柬埔寨
Japan,diplomatic relation,加拿大
SA,diplomatic relation,印度
Japan,diplomatic relation,丹麦
Japan,diplomatic relation,阿尔巴尼亚
SA,diplomatic relation,莱索托
Japan,diplomatic relation,阿尔及利亚
SA,diplomatic relation,马来西亚
Japan,diplomatic relation,印度尼西亚
瘘管,instance of,疾病
康王乡,instance of,乡
乳香,instance of,软膏剂
SA,diplomatic relation,利比亚
Japan,diplomatic relation,格林纳达
康王乡,country,中华人民共和国
桤木属,taxon rank,属
SA,diplomatic relation,毛里求斯
Japan,diplomatic relation,匈牙利
线性系统,subclass of,数学模型
异丙苯,instance of,化合物
Hsd,instance of,基因
玻璃海鞘,taxon rank,种
SA,diplomatic relation,马拉维
Japan,diplomatic relation,文莱
中华海鲇,taxon rank,种
褐藻纲,taxon rank,纲
南充市,country,中华人民共和国
蒸发量,subclass of,汽化
灰菜,taxon rank,种
SA,diplomatic relation,巴基斯坦
Japan,diplomatic relation,苏联
南充市,located in the administrative territorial entity,四川省
灰菜,parent taxon,藜属
SA,diplomatic relation,莫桑比克
Japan,diplomatic relation,马耳他
SA,diplomatic relation,纳米比亚
蒸发量,different from,汽化
SA,diplomatic relation,巴勒斯坦
异丙苯,has part,碳
Hsd,ortholog,Hal
Hsd,ortholog,hal
SA,diplomatic relation,伊朗
Japan,member of,联合国
SA,diplomatic relation,印度尼西亚
SA,diplomatic relation,菲律宾
SA,diplomatic relation,古巴
SA,diplomatic relation,新加坡
SA,diplomatic relation,瑞士
粉晶,instance of,二氧化硅
血球凝集素,subclass of,膜蛋白质
磷酸氢钙,instance of,化合物
SA,diplomatic relation,土耳其
蓝蓟,taxon rank,种
光弹性,part of,光学
沧州市,country,中华人民共和国
利川市,country,大韩民国
磷酸氢钙,has part,钙
高效液相色谱法,instance of,方法
呋喃西林,instance of,化合物
沧州市,located in the administrative territorial entity,河北省
利川市,located in the administrative territorial entity,京畿道
磷酸氢钙,has part,氧
高效液相色谱法,subclass of,色谱法
斜鳞蛇,taxon rank,种
粉晶,streak color,白色
磷酸氢钙,has part,磷
呋喃西林,instance of,杂环化合物
沧州市,contains administrative territorial entity,运河区
沧州市,contains administrative territorial entity,沧县
SA,diplomatic relation,日本
沧州市,contains administrative territorial entity,青县
SA,diplomatic relation,俄罗斯
河神,domain of saint or deity,河流
呋喃西林,has part,氧
沧州市,contains administrative territorial entity,东光县
SA,diplomatic relation,中华人民共和国
呋喃西林,has part,碳
SA,diplomatic relation,丹麦
SA,diplomatic relation,希腊
SA,diplomatic relation,塞尔维亚
SA,diplomatic relation,孟加拉国
沧州市,contains administrative territorial entity,吴桥县
SA,diplomatic relation,墨西哥
沧州市,contains administrative territorial entity,献县
SA,diplomatic relation,法国
SA,member of,联合国
SA,member of,英联邦
迈尔,instance of,企业
共聚物,subclass of,聚合物
NIP,instance of,基因
柏油,instance of,混合物
土地利用,facet of,曲面
优美双盾木,taxon rank,种
数书九章,instance of,专论
FV,instance of,化合物
优美双盾木,parent taxon,双盾木属
迈尔,country,澳大利亚
NIP,found in taxon,智人
数书九章,instance of,文本
水蛭,taxon rank,亚纲
密刺蔷薇,taxon rank,种
诸葛菜,taxon rank,种
柏油,subclass of,路面
迈尔,headquarters location,墨尔本
哥伦比亚,shares border with,厄瓜多尔
数书九章,author,秦九韶
密刺蔷薇,parent taxon,蔷薇属
律师,field of this occupation,法律
哥伦比亚,shares border with,巴拿马
数书九章,language of work or name,汉语
哥伦比亚,shares border with,秘鲁
哥伦比亚,shares border with,巴西
哥伦比亚,shares border with,尼加拉瓜
SA,public holiday,元旦
1787年,instance of,年
女真族,instance of,人民
IUPAC,instance of,学会
五指山,instance of,山
女真族,country,满洲
IUPAC,instance of,协会
Southern,instance of,子公司
五指山,part of,海南省
谷类,subclass of,粮食
唐河,instance of,河流
1787年,follows,1786年
Southern,country,英国
五指山,country,中华人民共和国
箬竹,taxon rank,种
1787年,followed by,1788年
IUPAC,official language,英语
Japan,ethnic group,日本人
箬竹,parent taxon,箬竹属
IUPAC,country,美国
Japan,ethnic group,朝鲜族
唐河,country,美国
SA,public holiday,圣诞节
唐河,located in the administrative territorial entity,蒙大拿州
唐河,located in the administrative territorial entity,怀俄明州
Japan,contains administrative territorial entity,秋田县
IUPAC,headquarters location,苏黎世
SA,language used,英语
SA,language used,英语
Japan,contains administrative territorial entity,福岛县
Japan,contains administrative territorial entity,北海道
Japan,contains administrative territorial entity,岩手县
神爵,instance of,年号
费尔干纳盆地,instance of,谷地
峡谷,subclass of,谷地
OB,instance of,基因
Feng,instance of,姓氏
盖特,sex or gender,男性
巯基,subclass of,化学物质
春分,instance of,节气
糍,subclass of,菜肴
茶色素,instance of,化合物
信贷,subclass of,借贷
盖特,country of citizenship,丹麦
OB,found in taxon,智人
Lille,instance of,城市
信贷,subclass of,债务
盖特,given name,彼得
圆弧,subclass of,线段
春分,followed by,清明
Lille,country,法国
费尔干纳盆地,located on terrain feature,中亚
霍普金斯大学,country,美国
橘子,taxon rank,种
免疫缺陷,health specialty,免疫学
圆弧,part of,曲线
龙爪茅,taxon rank,种
茶色素,named after,咖啡
霍普金斯大学,located in the administrative territorial entity,马里兰州
SA,shares border with,纳米比亚
橘子,parent taxon,柑橘属
马里,instance of,古代文明
费尔干纳盆地,mountain range,天山山脉
Japan,contains administrative territorial entity,山梨县
橘子,has fruit type,柑果
马里,country,叙利亚
SA,shares border with,莱索托
Japan,contains administrative territorial entity,长野县
橘子,has fruit type,浆果
SA,shares border with,斯威士兰
橘子,this taxon is source of,温州蜜柑
SA,shares border with,莫桑比克
Japan,contains administrative territorial entity,三重县
Japan,contains administrative territorial entity,滋贺县
Japan,contains administrative territorial entity,京都府
SA,driving side,左
Japan,contains administrative territorial entity,兵库县
Japan,contains administrative territorial entity,奈良县
Japan,contains administrative territorial entity,和歌山县
霍普金斯大学,language used,英语
Japan,contains administrative territorial entity,岛根县
Japan,contains administrative territorial entity,广岛县
Japan,contains administrative territorial entity,山口县
茶色素,has part,氧
茶色素,has part,碳
Japan,contains administrative territorial entity,香川县
Japan,contains administrative territorial entity,爱媛县
橄榄科,taxon rank,科
拉霍亚,instance of,镇
青鼬,taxon rank,种
木瓜红属,taxon rank,属
斯托特,sex or gender,男性
大花菟丝子,taxon rank,种
Japan,contains administrative territorial entity,高知县
磁山遗址,country,中华人民共和国
Heyne,instance of,姓氏
anemia,instance of,疾病
拉霍亚,country,美国
斯托特,country of citizenship,英国
Japan,contains administrative territorial entity,福冈县
磁山遗址,located in the administrative territorial entity,武安市
日本鲭,taxon rank,种
鳞砗磲,taxon rank,种
林牧,sex or gender,男性
斯托特,given name,乔治
Japan,contains administrative territorial entity,长崎县
Heyne,writing system,拉丁文字
林牧,family name,林
Heyne,different from,Heyne
斯托特,place of death,悉尼
Japan,contains administrative territorial entity,大分县
Heyne,said to be the same as,Heine
橄榄科,has part,鞣质
斯托特,languages spoken written or signed,英语
Japan,contains administrative territorial entity,鹿儿岛县
斯托特,occupation,哲学家
Japan,contains administrative territorial entity,佐贺县
斯托特,employer,牛津大学
Japan,shares border with,俄罗斯
Japan,shares border with,大韩民国
癌基因,subclass of,基因
孟菲斯,instance of,城市
Japan,shares border with,中华人民共和国
田基麻科,taxon rank,科
朱唇,taxon rank,种
carcinogen,subclass of,substance
孟菲斯,country,美国
李勃,sex or gender,男性
华山矾,taxon rank,种
作用量,instance of,物理量
田基麻科,parent taxon,茄目
carcinogen,has effect,肿瘤
李勃,country of citizenship,中华人民共和国
华山矾,parent taxon,山矾属
鹪鹩,taxon rank,种
斑叶兰,taxon rank,种
鲈鲤,taxon rank,种
布氏田鼠,taxon rank,种
李勃,family name,李
Japan,driving side,左
青花瓷,country,中国
孟菲斯,located in or next to body of water,密西西比河
李勃,member of political party,中国共产党
申报,place of publication,上海市
彩鹮,taxon rank,种
PLA,founded by,朱德
grazier,instance of,专业
城步县,instance of,自治县
南五味子,taxon rank,种
申报,language of work or name,汉语
PLA,country,中华人民共和国
滚子链,subclass of,构件
鲈鲤,named after,秉志
麝鼹,taxon rank,种
栗啄木鸟,taxon rank,种
川赤芍,taxon rank,种
grazier,subclass of,牧人
黎明,sex or gender,男性
城步县,country,中华人民共和国
朱鹮,taxon rank,种
川赤芍,parent taxon,芍药属
黎明,country of citizenship,中华人民共和国
Men,country of origin,美国
Lille,sister city,都灵
黎明,family name,赖
Men,original language of work,英语
绳索,has part,纱线
Lille,sister city,鹿特丹
黎明,place of birth,北京市
滚子链,use,保安
Lille,sister city,科隆
Lille,sister city,利兹
PLA,headquarters location,北京市
Japan,history of topic,日本历史
255,instance of,年
成都平原,instance of,平原
明律,instance of,法典
枣强县,instance of,县
郭守敬,sex or gender,男性
黄油,subclass of,奶制品
成都平原,country,中华人民共和国
枣强县,country,中华人民共和国
Lille,sister city,上海市
Miller,instance of,姓氏
南部高地,country,澳大利亚
Zan,country,伊朗
郭守敬,country of citizenship,中国
Miller,language of work or name,英语
LOI,country,巴西
宋濂,sex or gender,男性
Zan,language of work or name,波斯语
郭守敬,country of citizenship,元朝
黎明,blood type,AB
Collins,instance of,姓氏
磷壁酸,instance of,化合物
Miller,writing system,拉丁文字
宋濂,country of citizenship,中国
郭守敬,family name,郭
Lille,sister city,弗罗茨瓦夫
土坯,subclass of,建筑材料
Collins,language of work or name,英语
冠状病毒,taxon rank,属
磷壁酸,has part,氧
宋濂,country of citizenship,明朝
郭守敬,place of birth,邢台市
旱谷,subclass of,流水
异戊烷,instance of,化合物
重铬酸钾,instance of,化合物
土坯,material used,壤土
Collins,writing system,拉丁文字
磷壁酸,has part,碳
Miller,different from,米勒
郭守敬,place of death,北京市
伊蚊属,taxon rank,属
Collins,different from,柯林斯
mass,subclass of,荷
Miller,said to be the same as,Miler
郭守敬,occupation,数学家
Sidney,writing system,拉丁文字
重铬酸钾,has part,钾
郭守敬,occupation,天文学家
Men,color,黑白
Sidney,family name identical to this given name,Sidney
重铬酸钾,has part,氧
mass,part of,力
Sidney,different from,Sidney
重铬酸钾,has part,铬
林中小屋,country of origin,美国
mass,has effect,力
Sidney,said to be the same as,Sydney
林中小屋,original language of work,英语
宋濂,occupation,历史学家
宋濂,occupation,教师
mass,has quality,能量
宋濂,student,朱元璋
石亭江,instance of,流水
涪江,instance of,河流
Higher,instance of,单曲
mass,different from,重量
石亭江,country,中华人民共和国
OF,sport,棒球
涪江,mouth of the watercourse,嘉陵江
周礼,instance of,文学作品
涪江,country,中华人民共和国
Jersey,official language,英语
冰糖,country of origin,伊朗
Caesar,sex or gender,男性
尼古丁,instance of,药物
涪江,watershed,长江流域
Jersey,country,美国
mass,said to be the same as,能量
Brim,instance of,镇
尿嘧啶,instance of,化合物
